"Origin domain","Origin page","Anchor","Link"
"vd.ch","https://www.vd.ch/themes/economie/police-cantonale-du-commerce/informations-relatives-a-lhotellerie-restauration/exploiter-un-concept-de-restauration-mobile-food-truck/","Intranet","http://intranet.etat-de-vaud.ch/"
"soulandfood.fr","https://www.soulandfood.fr/balades-gourmandes/item/269-touche-pas-a-mon-truck-communaute-de-defense-de-la-street-food.html","inscrivez-vous dès maintenant et participez à cette cause","http://www.touchepasamontruck.fr/"
"soulandfood.fr","https://www.soulandfood.fr/balades-gourmandes/item/269-touche-pas-a-mon-truck-communaute-de-defense-de-la-street-food.html","le site de Touche pas à mon Truck","http://www.touchepasamontruck.fr/"
"klixi.io","https://www.klixi.io/fr/blog/restaurant-10-exemples-de-contenus-a-publier-sur-facebook-2416","https://conso.bloctel.fr","https://conso.bloctel.fr"
"klixi.io","https://www.klixi.io/fr/blog/restaurant-10-exemples-de-contenus-a-publier-sur-facebook-2416","https://conso.bloctel.fr","https://conso.bloctel.fr"
"epfl.ch","https://www.epfl.ch/campus/restaurants-shops-hotels/fr/offre-du-jour-de-tous-les-points-de-restauration/","Les services IC Cluster","http://iccluster.epfl.ch"
"jours-de-marche.fr","https://www.jours-de-marche.fr/food-truck/85000-la-roche-sur-yon.html","Créer un drive pour ma ferme","https://www.passercommande.fr"
