"Origin domain","Origin page","Anchor","Link"
"vd.ch","https://www.vd.ch/themes/economie/police-cantonale-du-commerce/informations-relatives-a-lhotellerie-restauration/exploiter-un-concept-de-restauration-mobile-food-truck/","Intranet","http://intranet.etat-de-vaud.ch/"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","E-Shop sans gluten","http://www.e-shopsansgluten.ch/"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","La Fée Crue","http://feeries-crues.bio/"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://feeries-crues.bio/"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","NatureJoy","http://www.naturejoy.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.naturejoy.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","Veggie Croc","http://www.veggie-croc.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.veggie-croc.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.e-shopsansgluten.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.veggie-croc.ch"
"bulledesante.ch","https://www.bulledesante.ch/fr/exposants/liste-exposants.html","","http://www.i-can-eat.ch"
"epfl.ch","https://www.epfl.ch/campus/restaurants-shops-hotels/fr/restauration/food-truck/","Les services IC Cluster","http://iccluster.epfl.ch"
"lerodeur.ch","https://www.lerodeur.ch/","« O salon »","https://osalon.ch/"
"femina.ch","https://www.femina.ch/forme/cuisine/food-truck-mon-resto-est-un-camion","www.abpastrami.ch","http://www.abpastrami.ch"
"sakret.ch","https://www.sakret.ch/fr/entreprise/actualites/50-ans-sakret-suisse","Luna Lux","https://www.lunaluxmagic.com/"
"le-petitchou.com","http://le-petitchou.com/food-trucks-liste/","PuroGelato","http://purogelato.ch/notre-magasin/"
"le-petitchou.com","http://le-petitchou.com/food-trucks-liste/","Favier","http://Www.yatoulamd.com"
