"Origin domain","Origin page","Anchor","Link"
"watson.ch","https://www.watson.ch/food/z%C3%BCrich/608910207-10-neue-gerichte-die-sie-dieses-wochenende-am-ersten-street-food-festival-der-schweiz-unbedingt-mal-ausprobieren-muessen","Cate & Coco","http://www.cateandcoco.ch/"
"watson.ch","https://www.watson.ch/food/grossbritannien/156543459-briten-koennen-nicht-kochen-pha-diese-29-speisen-beweisen-das-gegenteil","goodfood.uktv.co.uk","http://goodfood.uktv.co.uk/recipe/classic-kedgeree/"
"watson.ch","https://www.watson.ch/spass/leben/757198734-zum-4th-of-july-die-12-besten-gerichte-die-ich-waehrend-meiner-us-tour-essen-durfte","notsotouristy.com","http://notsotouristy.com/2016/06/05/the-attic-on-broadway/"
"watson.ch","https://www.watson.ch/leben/food/776901119-zu-viele-ostereier-uebrig-hier-kommen-6-leckere-rezeptideen-wie-du-sie-verwerten-kannst","goodfood.uktv.co.uk","http://goodfood.uktv.co.uk/recipe/classic-kedgeree/"
"watson.ch","https://www.watson.ch/leben/food/776901119-zu-viele-ostereier-uebrig-hier-kommen-6-leckere-rezeptideen-wie-du-sie-verwerten-kannst","Foodie Rachel","http://blog.foodierachel.com/2010/05/curried-egg-sandwiches-with-dill/"
"watson.ch","https://www.watson.ch/leben/food/776901119-zu-viele-ostereier-uebrig-hier-kommen-6-leckere-rezeptideen-wie-du-sie-verwerten-kannst","hier","http://blog.foodierachel.com/2010/05/curried-egg-sandwiches-with-dill/"
"watson.ch","https://www.watson.ch/food/lifestyle/394206449-30-gruende-warum-die-griechische-kueche-hammergeil-ist","gobuddycook.com","http://gobuddycook.com/recipe/recipe/view/37/"
