"Origin domain","Origin page","Anchor","Link"
"edutechwiki.unige.ch","http://edutechwiki.unige.ch/en/The_media_debate","Comments from Richard Clark to participants in the Media and Methods Debate","http://hagar.up.ac.za/rbo/construct/clark.html"
"edutechwiki.unige.ch","http://edutechwiki.unige.ch/en/The_media_debate","The Great Media Debate: Media are mere vehicles of instruction","http://hagar.up.ac.za/rbo/construct/media.html"
"edutechwiki.unige.ch","http://edutechwiki.unige.ch/en/The_media_debate","Abstract PDF","http://www.springerlink.com/content/681t5680047393j5/"
"unige.ch","https://www.unige.ch/medecine/fr/carrousel/epfleaders4impact/","IC Cluster services","http://iccluster.epfl.ch"
