"Origin domain","Origin page","Anchor","Link"
"epfl.ch","https://www.epfl.ch/campus/restaurants-shops-hotels/fr/restauration/food-truck/","Les services IC Cluster","http://iccluster.epfl.ch"
"epfl.ch","https://www.epfl.ch/campus/restaurants-shops-hotels/food-truck-2/","IC Cluster services","http://iccluster.epfl.ch"
"epfl.ch","https://www.epfl.ch/campus/restaurants-shops-hotels/food-truck-2/","Bonus","http://Performance%20Bonuses%20and%20exceptional%20Salary%20Increases%20for%20outstanding%20performance%20and%20appreciation%20of%20work"
