"Origin domain","Origin page","Anchor","Link"
"streetfooddays.ch","http://streetfooddays.ch/index.html","

","http://urban-flohmarkt.ch"
"trend-fabrik.ch","http://www.trend-fabrik.ch/","2021_btt90_fanpage_bild","http://www.welove90s.ch"
"trend-fabrik.ch","http://www.trend-fabrik.ch/","","http://welove90s.ch"
"vgnfun.ch","https://vgnfun.ch/","Reeds Festival","https://www.reedsfestival.ch/"
"vgnfun.ch","https://vgnfun.ch/","Hardturm Festival,","http://hardturm-festival.ch/"
"burger-festival.ch","http://www.burger-festival.ch/","

","http://www.urban-flohmarkt.ch"
"rollende-gelateria.ch","https://www.rollende-gelateria.ch/events/",".2021 Markt
    Reinach","https://www.warenmarktreinach.com/"
"rollende-gelateria.ch","https://www.rollende-gelateria.ch/events/","31.08.2021 Markt Reinach","https://www.warenmarktreinach.com/"
"rollende-gelateria.ch","https://www.rollende-gelateria.ch/events/",".2021 Markt Reinach","https://www.warenmarktreinach.com/"
"rollende-gelateria.ch","https://www.rollende-gelateria.ch/events/",".2021 Markt Reinach","https://www.warenmarktreinach.com/"
"rollende-gelateria.ch","https://www.rollende-gelateria.ch/events/","25.05.2021 Markt
    Reinach","https://www.warenmarktreinach.com/"
"rollende-gelateria.ch","https://www.rollende-gelateria.ch/events/","27.04.2021 Markt Reinach","https://www.warenmarktreinach.com/"
"swipf.ch","https://www.swipf.ch/","
    ","http://www.wuudu.ch/wuudu-festival.html"
"zuerich.com","https://www.zuerich.com/de/besuchen/food-zurich","foodzurich.com","http://www.%E2%80%8Bfoodzurich.com/de"
