"Origin domain","Origin page","link"
"lenews.ch","https://lenews.ch/2016/04/29/geneva-museum-night-magic-descends-on-the-city-on-21-may-2016/","http://art-sans-rdv.ch/association/"
"lenews.ch","https://lenews.ch/2016/02/04/swiss-vote-the-pros-and-cons-of-a-new-alpine-road-tunnel/","http://www.2tunnel-non.ch/fr.html"
"lenews.ch","https://lenews.ch/2016/02/04/swiss-vote-the-pros-and-cons-of-a-new-alpine-road-tunnel/","http://www.non-gothard.ch/"
