"Origin domain","Origin page","Anchor","Link"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Discussion:Camion-restaurant","La ville de Paris","http://style.lesinrocks.com/2015/05/20/bouche-a-oreille-paris-mange-dehors/"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Festival_gastronomique","« Brussels Food Truck Festival »","http://www.brusselsfoodtruckfestival.be"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Place_de_la_Riponne","« Politique municipale en matière de protection des eaux – Plan directeur de protection des eaux »","http://webapps.lausanne.ch/ressources/decimuni/file/5085.pdf"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Place_de_la_Riponne","lire en ligne","http://journal.24heures.ch/vaud-regions/actu/2008/06/11/romandie-riponne-verse-larmes-tristesse-joie"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Saint-Maur-des-Foss%C3%A9s","« Ville de Saint-Maur Budget primitif 2019 »","http://ttps://www.saint-maur.com/fileadmin/user_upload/Ma_Mairie/Deliberations/2019/CM_6_FEVRIER/Note_relative_au_budget_primitif_2019-2.pdf"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Bob_l%27%C3%A9ponge","The Oral History of SpongeBob SquarePants","http://cartoonician.com/the-oral-history-of-spongebob-squarepants/"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Dans_la_peau_d%27un_chef","« Femme et Chef de Défi »","http://tabatabonardi.fr/parcours/"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Dans_la_peau_d%27un_chef","« Le Blog News et Programmes Télé - Toutes les audiences télé du -- »","http://--"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Le_Madrid","lire en ligne","http://fr.canoe.ca/infos/regional/archives/2011/07/20110711-234421.html"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Le_Madrid","lire en ligne","http://fr.canoe.ca/infos/regional/archives/2011/07/20110709-090503.html"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Le_Madrid","Site du Madrid","http://www.manoir-bigfoot.com"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Fichier:Jelcz_trucks_from_the_POLUKRBAT_in_Kosovo.jpeg","http://www.defenseimagery.mil/","http://www.defenseimagery.mil/"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Fichier:Jelcz_trucks_from_the_POLUKRBAT_in_Kosovo.jpeg","VIRIN: 010321-A-BS384-006","http://www.defenseimagery.mil/imagery.html;jsessionid=FAA0140CAE837D0041C173CA092AA9D2#guid=80b9a367955c66d37bb67b0a8354ba62f5e2618a"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Demande_de_restauration_de_page/Archives44","http://kamermoov.cm/5874-one-love-mon-album-un-nouveau-souffle-va-wanda-les-gens-je-suis-un-artiste-apolitique.html","http://kamermoov.cm/5874-one-love-mon-album-un-nouveau-souffle-va-wanda-les-gens-je-suis-un-artiste-apolitique.html"
"fr.wikipedia.org","https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Demande_de_restauration_de_page/Archives44","http://www.monsite.com/lapagecopie.html","http://www.monsite.com/lapagecopie.html"
